batch,day,idturk,treatment,initialendowment,initialendowmentupdated,pointssaving1,pointssaving2,pointssaving3,pointssaving4,borrowdebt1,borrowdebt2,borrowsaving5,borrowsaving6,pointsthisdecision,additionalpointssaving1,additionalpointssaving2,additionalpointssaving3,additionalpointssaving4,points_ia_a1,points_ia_a2,points_ia_a3,points_ia_a4,points_aa_a1,points_aa_a2,points_aa_a3,points_aa_a4,balance_ia_a1,balance_ia_a2,balance_ia_a3,balance_ia_a4,balance_aa_a1,balance_aa_a2,balance_aa_a3,balance_aa_a4,balance_borrow_a1,balance_borrow_a2,lottery1choice,lottery2choice,time1choice,time2choice,oneshotcontrol_s1,oneshotcontrol_s2,oneshotcontrol_s3,oneshotcontrol_s4,oneshotdebt_s1,oneshotdebt_s2,oneshotdebt_d1,oneshotdebt_d2,oneshothigh_s1,oneshothigh_s2,oneshothigh_d1,oneshothigh_d2,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,demo_sex,demo_age,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,errorend1,errorend2,error_count,error_initial,error_main,error_end,error_main_total,error_count_total,borrowcap1bal,borrowcap2bal,borrowcap1percleft,borrowcap2percleft,gap,controlsaving1balanceupdated,controlsaving2balanceupdated,controlsaving3balanceupdated,controlsaving4balanceupdated,debtsaving1balanceupdated,debtsaving2balanceupdated,debtsaving3balanceupdated,debtsaving4balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated2,controlsaving4balanceupdated2,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtsaving3balanceupdated2,debtsaving4balanceupdated2,netbalance,netreturn,totalpoints,finalpayment,finalpaymentend,participantid,lotterychoice,timechoice,durationinseconds,selectioncontroltreatment,selectiondebttreatment,controlsaving5balanceupdated,controlsaving6balanceupdated,debtdebt1balanceupdated,debtdebt2balanceupdated,q1697,debtsaving3balance,debtsaving4balance,order_oneshotcontrol,order_oneshotdebt,order_oneshothighdebt,io,perco_orig,perco_adtl,perco_os_c,perco_os_d,perco_os_h,ind_optimal_ia,ind_optimal_ap,ind_optimal_ia_d1_t,ind_optimal_ia_d4_t,ind_optimal_ia_d1,ind_optimal_ia_d4,ind_optimal_ia_all,ind_optimal_ap_all,os_optimal_c_t,os_optimal_d_t,os_optimal_h_t,os_optimal_c,os_optimal_d,os_optimal_h,instructions_confused,borrow_max_a1,borrow_max_a2,borrow_max_both,borrow_max_a1_d1,borrow_max_a2_d1,borrow_max_both_d1,borrow_max_a1_d4,borrow_max_a2_d4,borrow_max_both_d4,optimal_s1,optimal_s1_d1_t,optimal_s1_d1,optimal_s1_d4_t,optimal_s1_d4,borrow_d1_t,borrow_d1,total_pointssaving1,total_pointssaving2,total_pointssaving3,total_pointssaving4,total_borrowdebt1,total_borrowdebt2,total_borrowsaving5,total_borrowsaving6,total_points_allocated,perc_total_pointssaving1,perc_total_pointssaving2,perc_total_pointssaving3,perc_total_pointssaving4,total_perc_points_allocated,returns
8,Day 3,A87D3K9YVKTQ7,B Control,964,1389,1000,80,300,9,,,25,400,462,400,0,62,0,1000,80,300,9,400,0,62,0,4695,1330,555,102,5095,1330,617,102,775,1200,210,0.370000005,315,0.550000012,,,,,,,,,,,,,I just went with my gut feelings and went from there.,Slightly important,Extremely important,Extremely important,Put money where the interest rate is higher.,Female,38,Ohio,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,A little,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,4,1,3,0,12,15,125,300,0.1388889,0.2,,4695,1330,555,102,,,,,5095,1330,617,102,,,,,,,,,,tucson38166,,,6521,1,0,125,300,,,,,,,,,1389,0.71994239,0.86580086,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,630,825,85,0,0,800,1250,5540,0.72202164,0.11371841,0.14891697,0.01534296,0.99999994,1283
8,Day 4,A87D3K9YVKTQ7,B Control,1283,1358,1000,50,300,8,,,25,50,600,600,0,0,0,1000,50,300,8,600,0,0,0,6095,1380,917,110,6695,1380,917,110,800,1250,400,,,,900,100,0,0,950,50,0,0,1000,0,0,0,I just went with my gut feelings and went from there.,Slightly important,Extremely important,Extremely important,Put money where the interest rate is higher.,Female,38,Ohio,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,A little,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,5,0,3,2,12,15,100,250,0.11111111,0.16666667,,6095,1380,917,110,,,,,6695,1380,917,110,,,,,9452,1648,11100,22.20000076,4.579999924,tucson38166,,,2648,1,0,100,250,,,,,,3,1,2,1358,0.736377,1,0.89999998,0.94999999,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,630,825,85,0,0,800,1250,5540,0.72202164,0.11371841,0.14891697,0.01534296,0.99999994,1648
8,Day 1,A92KVBM20ZTU4,B Control,500,2750,400,700,900,750,,,850,1400,100,25,25,25,25,400,700,900,750,25,25,25,25,1500,1400,900,750,1525,1425,925,775,850,1400,475,0.949999988,495,0.99000001,,,,,,,,,,,,,I was reading the instructions carefully and gave the calculation precisely,Extremely important,Extremely important,Extremely important,I would like to follow new strategy for obtaining more points,Male,40,Pennsylvania,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,50,100,0.055555556,0.06666667,,1500,1400,900,750,,,1800,2250,1525,1425,925,775,,,1825,2275,,,,,,sandiego44827,,,1444,1,0,50,100,,,NO,900,1500,,,,2750,0.14545454,0.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,872,1600,1900,1950,0,0,900,1500,6322,0.13793103,0.25308448,0.30053779,0.30844671,1,638
8,Day 2,A92KVBM20ZTU4,B Control,1138,1268,268,200,300,500,,,40,90,100,25,25,25,25,268,200,300,500,25,25,25,25,1793,1625,1225,1275,1818,1650,1250,1300,890,1490,495,0.99,490,0.98,,,,,,,,,,,,,I was reading the instructions carefully and gave the calculation precisely,Extremely important,Extremely important,Extremely important,I would like to follow new strategy for obtaining more points,Male,40,Pennsylvania,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,1,0,1,1,10,10,0.011111111,0.006666667,,1793,1625,1225,1275,,,,,1818,1650,1250,1300,,,,,,,,,,sandiego44827,,,1211,1,0,10,10,,,,,,,,,1268,0.21135646,0.25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,872,1600,1900,1950,0,0,900,1500,6322,0.13793103,0.25308448,0.30053779,0.30844671,1,783
8,Day 3,A92KVBM20ZTU4,B Control,1283,1293,93,400,400,400,,,5,5,600,200,100,150,150,93,400,400,400,200,100,150,150,1911,2050,1650,1700,2111,2150,1800,1850,895,1495,490,0.949999988,450,0.899999976,,,,,,,,,,,,,I was reading the instructions carefully and gave the calculation precisely,Extremely important,Extremely important,Extremely important,I would like to follow new strategy for obtaining more points,Male,40,Pennsylvania,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,5,5,0.005555556,0.003333333,,1911,2050,1650,1700,,,,,2111,2150,1800,1850,,,,,,,,,,sandiego44827,,,1034,1,0,5,5,,,,,,,,,1293,0.071925752,0.33333334,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,872,1600,1900,1950,0,0,900,1500,6322,0.13793103,0.25308448,0.30053779,0.30844671,1,1001
8,Day 4,A92KVBM20ZTU4,B Control,1001,1011,111,300,300,300,,,5,5,100,25,25,25,25,111,300,300,300,25,25,25,25,2222,2450,2100,2150,2247,2475,2125,2175,900,1500,490,,,,250,250,250,250,250,250,250,250,250,250,250,250,I was reading the instructions carefully and gave the calculation precisely,Extremely important,Extremely important,Extremely important,I would like to follow new strategy for obtaining more points,Male,40,Pennsylvania,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2222,2450,2100,2150,,,,,2247,2475,2125,2175,,,,,9022,1124,10146,20.29000092,4.429999828,sandiego44827,,,1413,1,0,0,0,,,,,,1,3,2,1011,0.10979228,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,872,1600,1900,1950,0,0,900,1500,6322,0.13793103,0.25308448,0.30053779,0.30844671,1,1124
3,Day 1,A9692Y27LBXT9,B Control,500,2000,2000,0,0,0,,,0,1500,100,100,0,0,0,2000,0,0,0,100,0,0,0,3100,700,0,0,3200,700,0,0,0,1500,500,1,500,1,,,,,,,,,,,,,I wanted to make the most money,Not at all important,Extremely important,Extremely important,I would have put all of my points in the account with the highest interest rate.,Male,30,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,900,0,1,0,,3100,700,0,0,,,900,1500,3200,700,0,0,,,900,1500,,,,,,irvine80234,,,1270,1,0,900,0,,,nope,900,1500,,,,2000,1,1,,,,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,7959,0,0,0,0,0,900,1500,7959,1,0,0,0,1,845
3,Day 2,A9692Y27LBXT9,B Control,1345,2245,2245,0,0,0,,,900,0,100,100,0,0,0,2245,0,0,0,100,0,0,0,5445,700,0,0,5545,700,0,0,900,1500,500,1,500,1,,,,,,,,,,,,,I wanted to make the most money,Not at all important,Extremely important,Extremely important,I would have put all of my points in the account with the highest interest rate.,Male,30,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,0,0,0,0,,5445,700,0,0,,,,,5545,700,0,0,,,,,,,,,,irvine80234,,,827,1,0,0,0,,,,,,,,,2245,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,7959,0,0,0,0,0,900,1500,7959,1,0,0,0,1,1179
3,Day 3,A9692Y27LBXT9,B Control,1679,1679,1679,0,0,0,,,0,0,100,100,0,0,0,1679,0,0,0,100,0,0,0,7224,700,0,0,7324,700,0,0,900,1500,500,1,500,1,,,,,,,,,,,,,I wanted to make the most money,Not at all important,Extremely important,Extremely important,I would have put all of my points in the account with the highest interest rate.,Male,30,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,0,0,0,0,,7224,700,0,0,,,,,7324,700,0,0,,,,,,,,,,irvine80234,,,916,1,0,0,0,,,,,,,,,1679,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,7959,0,0,0,0,0,900,1500,7959,1,0,0,0,1,1535
3,Day 4,A9692Y27LBXT9,B Control,2035,2035,2035,0,0,0,,,0,0,600,600,0,0,0,2035,0,0,0,600,0,0,0,9359,700,0,0,9959,700,0,0,900,1500,500,,,,1000,0,0,0,1000,0,0,0,1000,0,0,0,I wanted to make the most money,Not at all important,Extremely important,Extremely important,I would have put all of my points in the account with the highest interest rate.,Male,30,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,No,A moderate amount,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2,0,0,0,0,,9359,700,0,0,,,,,9959,700,0,0,,,,,10659,2062,12721,25.44000053,4.210000038,irvine80234,,,2016,1,0,0,0,,,,,,3,2,1,2035,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,7959,0,0,0,0,0,900,1500,7959,1,0,0,0,1,2062
6,Day 1,A9PW4DCG5CRXN,B Control,500,500,350,150,0,0,,,0,0,254,150,104,0,0,350,150,0,0,150,104,0,0,1450,850,0,0,1600,954,0,0,0,0,150,0.5,200,0.050000001,,,,,,,,,,,,,Overall good,Very important,Extremely important,Very important,Make my own decision,Female,36,California,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,,,11,2,9,0,21,29,900,1500,1,1,,1450,850,0,0,,,900,1500,1600,954,0,0,,,900,1500,,,,,,orange28383,,,1066,1,0,900,1500,,,Overall good,900,1500,,,,500,0.69999999,0.5905512,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1481,983,625,0,0,600,1050,5039,0.38698155,0.29390752,0.19507839,0.12403255,1,625
6,Day 2,A9PW4DCG5CRXN,B Control,625,1375,150,350,500,375,,,250,500,100,15,25,30,30,150,350,500,375,15,25,30,30,1750,1304,500,375,1765,1329,530,405,250,500,380,0.600000024,240,0.589999974,,,,,,,,,,,,,Overall good,Very important,Extremely important,Very important,Make my own decision,Female,36,California,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,6,1,5,0,21,29,650,1000,0.72222221,0.66666669,,1750,1304,500,375,,,,,1765,1329,530,405,,,,,,,,,,orange28383,,,4363,1,0,650,1000,,,,,,,,,1375,0.10909091,0.15000001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1481,983,625,0,0,600,1050,5039,0.38698155,0.29390752,0.19507839,0.12403255,1,733
6,Day 3,A9PW4DCG5CRXN,B Control,1233,1833,750,550,333,200,,,250,350,600,250,200,100,50,750,550,333,200,250,200,100,50,2515,1879,863,605,2765,2079,963,655,500,850,340,0.699999988,320,0.600000024,,,,,,,,,,,,,Overall good,Very important,Extremely important,Very important,Make my own decision,Female,36,California,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,,,6,1,5,0,21,29,400,650,0.44444445,0.43333334,,2515,1879,863,605,,,,,2765,2079,963,655,,,,,,,,,,orange28383,,,1027,1,0,400,650,,,,,,,,,1833,0.40916529,0.41666666,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1481,983,625,0,0,600,1050,5039,0.38698155,0.29390752,0.19507839,0.12403255,1,1031
6,Day 4,A9PW4DCG5CRXN,B Control,1031,1331,700,431,150,50,,,100,200,100,25,30,15,30,700,431,150,50,25,30,15,30,3465,2510,1113,705,3490,2540,1128,735,600,1050,390,,,,250,250,250,250,200,300,250,250,300,200,300,200,Overall good,Very important,Extremely important,Very important,Make my own decision,Female,36,California,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,2,1,21,29,300,450,0.33333334,0.30000001,,3465,2510,1113,705,,,,,3490,2540,1128,735,,,,,8643,1225,9868,19.73999977,4.449999809,orange28383,,,2550,1,0,300,450,,,,,,2,1,3,1331,0.52592033,0.25,0.25,0.2,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1481,983,625,0,0,600,1050,5039,0.38698155,0.29390752,0.19507839,0.12403255,1,1225
3,Day 1,ACKG8OU1KHKO2,B Control,500,2000,2000,0,0,0,,,0,1500,600,600,0,0,0,2000,0,0,0,600,0,0,0,3100,700,0,0,3700,700,0,0,0,1500,500,0.99,500,1,,,,,,,,,,,,,Getting the most value out of the between account balances and interest rates.,Not at all important,Extremely important,Extremely important,It is important to take risk but with a high chance for payoff.,Male,26,Florida,Asian,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,1,0,6,9,900,0,1,0,,3100,700,0,0,,,900,1500,3700,700,0,0,,,900,1500,,,,,,richmond24673,,,1324,1,0,900,0,,,No,900,1500,,,,2000,1,1,,,,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,6503,0,0,0,0,0,900,1500,6503,1,0,0,0,1,945
3,Day 2,ACKG8OU1KHKO2,B Control,945,1845,1845,0,0,0,,,900,0,100,100,0,0,0,1845,0,0,0,100,0,0,0,5545,700,0,0,5645,700,0,0,900,1500,500,1,500,1,,,,,,,,,,,,,Getting the most value out of the between account balances and interest rates.,Not at all important,Extremely important,Extremely important,It is important to take risk but with a high chance for payoff.,Male,26,Florida,Asian,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A great deal,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,3,1,2,0,6,9,0,0,0,0,,5545,700,0,0,,,,,5645,700,0,0,,,,,,,,,,richmond24673,,,1062,1,0,0,0,,,,,,,,,1845,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,6503,0,0,0,0,0,900,1500,6503,1,0,0,0,1,1199
3,Day 3,ACKG8OU1KHKO2,B Control,1199,1199,1199,0,0,0,,,0,0,100,100,0,0,0,1199,0,0,0,100,0,0,0,6844,700,0,0,6944,700,0,0,900,1500,500,1,500,1,,,,,,,,,,,,,Getting the most value out of the between account balances and interest rates.,Not at all important,Extremely important,Extremely important,It is important to take risk but with a high chance for payoff.,Male,26,Florida,Asian,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,2,0,2,0,6,9,0,0,0,0,,6844,700,0,0,,,,,6944,700,0,0,,,,,,,,,,richmond24673,,,1069,1,0,0,0,,,,,,,,,1199,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,6503,0,0,0,0,0,900,1500,6503,1,0,0,0,1,1459
3,Day 4,ACKG8OU1KHKO2,B Control,1459,1459,1459,0,0,0,,,0,0,600,600,0,0,0,1459,0,0,0,600,0,0,0,8403,700,0,0,9003,700,0,0,900,1500,500,,,,1000,0,0,0,1000,0,0,0,1000,0,0,0,Getting the most value out of the between account balances and interest rates.,Not at all important,Extremely important,Extremely important,It is important to take risk but with a high chance for payoff.,Male,26,Florida,Asian,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,6,9,0,0,0,0,,8403,700,0,0,,,,,9003,700,0,0,,,,,9703,1871,11574,23.14999962,4.380000114,richmond24673,,,1234,1,0,0,0,,,,,,2,3,1,1459,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,6503,0,0,0,0,0,900,1500,6503,1,0,0,0,1,1871
5,Day 1,AD21ES5UMD77U,B Control,500,2900,2500,0,400,0,,,900,1500,100,100,0,0,0,2500,0,400,0,100,0,0,0,3600,700,400,0,3700,700,400,0,900,1500,400,0.89,375,0.95,,,,,,,,,,,,,I initially spread my allocations around but after that cocentrated putting my endowments in the higher intrest bearing accounts.  With the gambles I treated them as strictly chance and concentrated on winning higher ammounts.,Not at all important,Extremely important,Extremely important,the only thing I would change is my initial allocations.  I would have put them all in the highest bearing account to maximize proffits.,Male,66,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,1,0,1,1,0,0,0,0,,3600,700,400,0,,,1300,1500,3700,700,400,0,,,1300,1500,,,,,,santaana82064,,,2031,1,0,0,0,,,some of it is a little wordy but I think I got it,900,1500,,,,2900,0.86206895,1,,,,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,6536,0,400,0,0,0,900,1500,6936,0.94232988,0,0.057670128,0,1,870
5,Day 2,AD21ES5UMD77U,B Control,1370,1370,1370,0,0,0,,,0,0,100,0,0,100,0,1370,0,0,0,0,0,100,0,5070,700,400,0,5070,700,500,0,900,1500,300,0.85,495,0.75,,,,,,,,,,,,,I initially spread my allocations around but after that cocentrated putting my endowments in the higher intrest bearing accounts.  With the gambles I treated them as strictly chance and concentrated on winning higher ammounts.,Not at all important,Extremely important,Extremely important,the only thing I would change is my initial allocations.  I would have put them all in the highest bearing account to maximize proffits.,Male,66,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,,5070,700,400,0,,,,,5070,700,500,0,,,,,,,,,,santaana82064,,,1210,1,0,0,0,,,,,,,,,1370,1,0,,,,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,6536,0,400,0,0,0,900,1500,6936,0.94232988,0,0.057670128,0,1,1159
5,Day 3,AD21ES5UMD77U,B Control,1159,1159,1159,0,0,0,,,0,0,579,579,0,0,0,1159,0,0,0,579,0,0,0,6229,700,500,0,6808,700,500,0,900,1500,350,0.65,350,0.75,,,,,,,,,,,,,I initially spread my allocations around but after that cocentrated putting my endowments in the higher intrest bearing accounts.  With the gambles I treated them as strictly chance and concentrated on winning higher ammounts.,Not at all important,Extremely important,Extremely important,the only thing I would change is my initial allocations.  I would have put them all in the highest bearing account to maximize proffits.,Male,66,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,,6229,700,500,0,,,,,6808,700,500,0,,,,,,,,,,santaana82064,,,1476,1,0,0,0,,,,,,,,,1159,1,1,,,,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,6536,0,400,0,0,0,900,1500,6936,0.94232988,0,0.057670128,0,1,1507
5,Day 4,AD21ES5UMD77U,B Control,1507,1507,1507,0,0,0,,,0,0,600,600,0,0,0,1507,0,0,0,600,0,0,0,8315,700,500,0,8915,700,500,0,900,1500,400,,,,1000,0,0,0,1000,0,0,0,1000,0,0,0,I initially spread my allocations around but after that cocentrated putting my endowments in the higher intrest bearing accounts.  With the gambles I treated them as strictly chance and concentrated on winning higher ammounts.,Not at all important,Extremely important,Extremely important,the only thing I would change is my initial allocations.  I would have put them all in the highest bearing account to maximize proffits.,Male,66,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,8315,700,500,0,,,,,8915,700,500,0,,,,,10115,1928,12043,24.09,4.21,santaana82064,,,1223,1,0,0,0,,,,,,2,1,3,1507,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,6536,0,400,0,0,0,900,1500,6936,0.94232988,0,0.057670128,0,1,1928
6,Day 1,AE2MQ0H6NNRUH,B Control,500,2900,2900,0,0,0,,,900,1500,377,377,0,0,0,2900,0,0,0,377,0,0,0,4000,700,0,0,4377,700,0,0,900,1500,235,0.5,498,1,,,,,,,,,,,,,"I wanted to earn as much money as possible, which Iâm sure is everyoneâs goal. My strategy was to remove all debt and move all the money into the account with the largest amount of interest. I swore I out everything into one account but on day 2 it was 2 accounts and Iâm still not sure if that was me or the system making you have two accounts open, but if I could go back, the second account would have been the second highest interest rate, which I believe was 25%. As far as the points vs money part, I usually changed it about halfway. I wanted points but itâs not worth anything under 250 when thereâs a 50% chance of 500 so I kept the change around halfway to hopefully maximize my earnings.",Extremely important,Moderately important,Extremely important,I would do about the same except have my second account be the second highest interest rate.,Female,30,Pennsylvania,White,Some college,Non college graduate,Yes,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,,4000,700,0,0,,,900,1500,4377,700,0,0,,,900,1500,,,,,,anaheim12704,,,1500,1,0,0,0,,,"No, this is extremely clear",900,1500,,,,2900,1,1,,,,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6485,0,0,0,0,0,900,1500,6485,1,0,0,0,1,945
6,Day 2,AE2MQ0H6NNRUH,B Control,945,945,945,0,0,0,,,0,0,100,100,0,0,0,945,0,0,0,100,0,0,0,5322,700,0,0,5422,700,0,0,900,1500,300,0.550000012,250,0.550000012,,,,,,,,,,,,,"I wanted to earn as much money as possible, which Iâm sure is everyoneâs goal. My strategy was to remove all debt and move all the money into the account with the largest amount of interest. I swore I out everything into one account but on day 2 it was 2 accounts and Iâm still not sure if that was me or the system making you have two accounts open, but if I could go back, the second account would have been the second highest interest rate, which I believe was 25%. As far as the points vs money part, I usually changed it about halfway. I wanted points but itâs not worth anything under 250 when thereâs a 50% chance of 500 so I kept the change around halfway to hopefully maximize my earnings.",Extremely important,Moderately important,Extremely important,I would do about the same except have my second account be the second highest interest rate.,Female,30,Pennsylvania,White,Some college,Non college graduate,Yes,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,,5322,700,0,0,,,,,5422,700,0,0,,,,,,,,,,anaheim12704,,,1903,1,0,0,0,,,,,,,,,945,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,6485,0,0,0,0,0,900,1500,6485,1,0,0,0,1,1154
