"lambda"	"threshold"
1	0
1	0.000970083402371189
1	0.00143494897959184
1	0.00408020310686063
1	0.005
1	0.00507436049970256
1	0.00608554163863154
1	0.0062480584390619
1	0.0075409451760889
1	0.0126670042131091
1	0.0131073672278475
1	0.02
1	0.0266072273695025
1	0.03125
1	0.0317093122373833
1	0.0394508963242662
1	0.045
1	0.0459945737385679
1	0.0507231621184077
1.00083612040134	0.054699356332627
1.00082034454471	0.0563381044405275
1.00080515297907	0.0625
1.00158102766798	0.0634618151222451
1.00232919254658	0.0637302998565568
1.00228832951945	0.0678671653894474
1.00224887556222	0.0714244598919942
1.00221075902727	0.076123794105994
1.00455486542443	0.0767939800813935
1.00448019549944	0.0777866320810304
1.0051091965538	0.0779723711729224
1.0050280981958	0.0833747465903897
1.00718167701863	0.0864953365888281
1.00774008600096	0.0911257292538519
1.00828157349896	0.0958476252957804
1.00815796792435	0.101298926676855
1.00803799780782	0.101315831010492
1.00855162480871	0.104192559735709
1.01047027506655	0.110767506307179
1.01093517627504	0.114206023739511
1.01138716356108	0.118554501405228
1.01123117501914	0.123313918140604
1.01107940238375	0.125
1.0128364389234	0.134329425745226
1.01323962079111	0.134799745994417
1.01492296523352	0.141205943752898
1.01528905876732	0.146143220018242
1.01690384464187	0.146457728561418
1.01723602484472	0.152670295480822
1.01878690284487	0.152950401585133
1.02029995455234	0.153027745515888
1.02005537678665	0.15311212943831
1.01981662230109	0.161686648791894
1.01958348556814	0.164991121546653
1.02101690018778	0.208130162503594
