"lambda"	"threshold"
1.01086956521739	0
1.0133779264214	0.00347222222222222
1.01242236024845	0.00617283950617284
1.01159420289855	0.0246913580246914
1.01979813664596	0.0362081477953845
1.0211910851297	0.0387707328971534
1.0224292615597	0.0434884251641978
1.02353710362864	0.045218608276644
1.02453416149068	0.0490451388888889
1.02543626146111	0.0594618055555556
1.02428006775833	0.0625
1.0232244126384	0.0762939453125
1.02406832298137	0.0763888888888889
1.02484472049689	0.0803564558325639
1.02556139512661	0.101400941230487
1.02461467678859	0.105397730218781
1.023735581189	0.1075
1.02441636324695	0.173280123298524
1.02505175983437	0.180953561332149
1.02424363854939	0.1875
1.02484472049689	0.189891474498721
1.02842085450781	0.213923569824283
1.03178662769456	0.228276419441141
1.0321206743567	0.236545138888889
1.03243616287095	0.242901618971964
1.03273459795199	0.259810736681922
1.03187316116378	0.274305555555556
1.0321707278229	0.323202266780089
1.03245341614907	0.325555555555556
1.03514618997122	0.344808787448774
1.03534457261165	0.361575547817635
1.03553372815253	0.383690892793743
1.03797289666855	0.391478557611516
1.03809523809524	0.424045138888889
1.03821226032946	0.426407997515013
1.03832430289415	0.434717467219079
1.03843167701863	0.453428528256421
1.0385346685258	0.459386956822544
1.03863354037267	0.469458346691497
1.03872853489222	0.470161231452905
1.0388198757764	0.470185733562861
1.04078284307981	0.484588524104749
1.04083275822406	0.486011238166721
1.04088085827216	0.488898327249153
1.0409272404614	0.503520632889821
1.0409719952054	0.506722427819028
1.04101520668237	0.514877724261372
1.04105695336351	0.52010432536672
1.04109730848861	0.521661454999194
1.04276550249465	0.523428485837076
1.04279891304348	0.53416078243696
1.04433827042523	0.535259768602315
1.04432523997741	0.57830778521499
1.04579586539353	0.59096783297434
1.0451223967848	0.601074933903665
1.04653884238005	0.619228657732529
1.04791481810115	0.623213579121384
1.04785233137958	0.657000429329689
1.04779158040028	0.66962086972891
1.04773249383136	0.683951919346329
1.04767500419674	0.68817825379764
1.04761904761905	0.715395727498833
1.04756456358287	0.757364629260724
1.04751149471646	0.765179215675738
