"lambda"	"threshold"
1.00840336134454	0
1.00793650793651	0.000594530321046373
1.01503759398496	0.00125270485599604
1.01428571428571	0.001585414189457
1.01360544217687	0.0062962962962963
1.01298701298701	0.00723345223939754
1.01242236024845	0.0113728753414205
1.01190476190476	0.0158230452674897
1.01142857142857	0.0194213238208482
1.01098901098901	0.0396353547364249
1.01028726708075	0.0416666666666667
1.00997553171466	0.041875
1.00968213372305	0.0424074074074074
1.00940550133097	0.0435416666666667
1.01035196687371	0.046875
1.01007218398523	0.049837962962963
1.00980712651193	0.0528082714909431
1.00955566172957	0.0532104637336504
1.00931677018634	0.0591666666666667
1.0125738524466	0.0607213824337984
1.01227447500739	0.0617830214804396
1.01198902210025	0.0635185185185185
1.01496329757199	0.066608183893811
1.01463077984817	0.066875
1.0174183094788	0.0693197751450802
1.02008722082728	0.07079933372938
1.02057453416149	0.0708940300635387
1.02307009760426	0.0763506499714246
1.02546583850932	0.090945881047994
1.02496650834247	0.0917535379780094
1.02532250358337	0.0918075192584748
1.02754013828665	0.100021676760056
1.02703013572579	0.101160535690034
1.02913608130999	0.103033044608574
1.03116681455191	0.112031125680161
1.03138280483818	0.113485571503645
1.03330477618334	0.114074679203164
1.03516159595747	0.121490057397078
1.03695652173913	0.122268518518519
1.03869259749516	0.1249723748415
1.04037267080745	0.125778461693962
1.04199940845904	0.129117832496624
1.04202251552795	0.13136188193794
1.04137601528906	0.142674367570473
1.042913608131	0.143059137706584
1.04440530267915	0.145881327355053
1.0437522835221	0.147510712004679
1.04374831217931	0.149092170816415
1.04516415261757	0.154526676605017
1.04514040766337	0.155192837943498
1.04451345755694	0.155713945281541
1.04390368416574	0.155917686893624
1.04331039113648	0.159090645306453
1.04463768115942	0.163117365651109
1.04405034324943	0.168400833750533
1.04533354843914	0.182799686163639
1.04475234910018	0.191559088807852
1.04599418193254	0.199685573908698
1.0472049689441	0.215822195168959
