"lambda"	"threshold"
1.01355166572558	0
1.01735476799415	0.00666666666666667
1.01685891748004	0.015
1.0175983436853	0.0216666666666667
1.0182978009065	0.0246875
1.02213728300685	0.0266666666666667
1.02158385093168	0.03
1.02395740905058	0.0316666666666667
1.02340026000289	0.03375
1.02281933567378	0.0416666666666667
1.02325888727369	0.0433333333333333
1.02277432712215	0.04635
1.02522499683103	0.05
1.0255900621118	0.0533333333333333
1.02508829618804	0.0558353333333333
1.02567287784679	0.06
1.02525201099684	0.0666666666666667
1.02484472049689	0.0695833333333333
1.025140490979	0.0724208333333333
1.02474767080745	0.0766666666666667
1.02656473960822	0.0825
1.02603215199123	0.085
1.02565487442614	0.10625
1.02528837622005	0.115
1.02493220190709	0.1215625
1.02458592132505	0.125
1.02484472049689	0.13
1.02509652509653	0.132916666666667
1.02534161490683	0.134583333333333
1.02688787185355	0.135383333333333
1.02653867871259	0.145833333333333
1.02802994107342	0.1475
1.02787267080745	0.151666666666667
1.02772307226178	0.155
1.02791289381127	0.159166666666667
1.02893679210815	0.166666666666667
1.02910587895421	0.211666666666667
