"lambda"	"threshold"
1.06292195517148	0
1.06625258799172	0.00183595951332258
1.06534161490683	0.00205761316872428
1.06832298136646	0.00314253442631821
1.07108350586611	0.00333333333333333
1.07364685004437	0.00334841507638065
1.0760334118655	0.00745750953867499
1.07826086956522	0.00777539706832636
1.08034462031657	0.0104772333212567
1.07783385093168	0.0185185185185185
1.0798042537173	0.0190373342505154
1.07745706978444	0.0199167657550535
1.0793256433008	0.0236831526967394
1.07832988267771	0.0243286083925608
1.08007386268256	0.0244730253212396
1.07911082052958	0.0288000422128279
1.0770823379519	0.0289200878684469
1.07872670807453	0.0292145327625019
1.07786698985002	0.0414375910180744
1.07189110611867	0.0416666666666667
1.07129917184265	0.041993163983396
1.069844086703	0.0437175541802853
1.06844720496894	0.046875
1.06710510291073	0.049375
1.0685618729097	0.0555490509583969
1.06996367045588	0.0628576337637307
1.07131354957442	0.063653641828939
1.07261434217956	0.0678773292250988
1.07131765749778	0.0684156378600823
1.0725727361883	0.0695296625251591
1.07207110730349	0.0697570823722125
1.07327087061796	0.0801940169973243
1.07443064182195	0.0827814455678357
1.07273091564817	0.0833333333333333
1.07384403036577	0.114460590716241
1.07492236024845	0.116604106368312
1.07596751075012	0.122551079954269
1.07481648785997	0.12906380820813
1.07369982386206	0.13072413739153
1.07471684325904	0.133794740975579
1.07363399045819	0.143725150178326
1.07258207630878	0.143774248210863
1.07155979354387	0.160619776106025
1.07255003450656	0.172556586018143
1.07155619841743	0.174176899552441
1.07058922276314	0.182325122248649
1.07155279503106	0.20006985487552
1.07249101013403	0.200460865459583
1.07340485601355	0.209873608960018
1.07429526994744	0.214594789250749
1.07516314175643	0.21743017767522
1.07476708074534	0.222808616648694
1.0756076987961	0.239694706750281
1.07468565368884	0.292905193420909
