"lambda"	"threshold"
1	0
1	0.00390625
1	0.0059814453125
1.00161030595813	0.0107215226445144
1.00155279503106	0.015625
1.00149925037481	0.0296223958333333
1.00144927536232	0.05640625
1.00127877237852	0.0625
1.00124223602484	0.0626979981731743
1.0012077294686	0.0853819444444445
1.00117508813161	0.0904375463159523
1.00114416475973	0.0928259425251115
1.00222965440357	0.118550136266256
1.00217391304348	0.12953125
1.00212089077413	0.1775
1.00207039337474	0.1875
1.00534450382782	0.2216466056779
1.00522303783173	0.231903379913447
1.00607315389924	0.241294919949053
1.0068863083986	0.249518985091433
1.00659937888199	0.25
1.00735200912663	0.284372388002783
1.00807453416149	0.312497228991433
1.01071733041043	0.322916152667657
1.01325848064979	0.326166391563131
1.01382866518223	0.338704243639439
1.01621808143547	0.349876627609226
1.01671372106155	0.370923307576136
1.0171916592724	0.406669992496799
1.01765282772148	0.412019132868451
1.01809809381024	0.422892613806057
1.02021265396358	0.429145356238912
1.02060041407867	0.442178040539198
1.02097546074738	0.442207454944892
1.02133840913645	0.450572039343187
1.02168983535443	0.455181688504749
1.02203027950311	0.464398101919709
1.0223602484472	0.478959422965095
1.02268021833239	0.479954910942808
1.02299063687772	0.482799695090725
1.02329192546584	0.506332320600605
1.0235844810514	0.518520467292654
1.02386867790594	0.518685454214926
1.02414486921529	0.534520925958863
1.02441338854382	0.539131412927055
1.02467455117842	0.543758770625541
1.02627161322813	0.563145410465858
1.02782608695652	0.594855908562582
1.02933965348153	0.601506391291613
1.0295232717593	0.601990073224995
1.0309762701067	0.605193552513734
1.03113452315434	0.607127545791828
1.03253105590062	0.619975365061049
1.03266620657925	0.627280084613291
