"lambda"	"threshold"
1.01316770186335	0
1.01433349259436	4.81482486096809e-35
1.01541292845641	7.70371977754894e-34
1.01641526175688	0.000657735778141695
1.01734846862283	0.00196237054921226
1.0167701863354	0.02
1.01622921258265	0.0220293969054595
1.01572204968944	0.0359963344781949
1.01524562394128	0.0395764094892434
1.01479722323712	0.04125
1.01437444543035	0.0437250392976092
1.0139751552795	0.051195438181357
1.01359744838006	0.0647097622054332
1.01438378555083	0.065
1.01512979773849	0.0693794633585652
1.01475155279503	0.0810272433906254
1.01545220421148	0.0893352268879894
1.0150842945874	0.0921464052058821
1.01473349703886	0.0937356159807586
1.01538678712592	0.0946772319127944
1.016011042098	0.109927730687288
1.01566297596543	0.110285303170855
1.01532972115766	0.113416052383962
1.01501035196687	0.113868589669553
1.01470401825326	0.114971764638957
1.01527950310559	0.114973867951432
1.01583241992449	0.117116649866377
1.01552795031056	0.119407034035212
1.01523497011602	0.123367573427056
1.0149528410398	0.12407968512672
1.01468097120271	0.124087384883746
1.01441881100266	0.124725931317457
1.01302344219595	0.125
1.01350685201617	0.12898740575714
1.01329580745342	0.13
1.01376015289059	0.133848160929215
1.01571616789008	0.139189180508986
1.01613052748679	0.141490965507407
1.01589331384728	0.141833599865331
1.01566297596543	0.142489175649762
1.01543921916593	0.145585057495499
1.01522176537486	0.146277109585022
1.01561421670117	0.146490689611911
1.01540032332171	0.153006814371604
1.01519221084438	0.158690574708776
1.01556935817805	0.161495076514476
1.01536449820203	0.166161087342077
1.01516495926434	0.168758684826326
1.01497053670967	0.17414189264092
1.01478103624499	0.174680325993182
1.01459627329193	0.180083771717458
1.01441607238709	0.184838634121383
1.01424026662627	0.18543499640873
1.01406869714884	0.19566538526768
1.01441881100266	0.199067118599726
1.01424917793204	0.22773266120804
1.01408348981655	0.5
